"","�..HALTER_ID","ALTER","GESCHLECHT","STADTKREIS","STADTQUARTIER","RASSE1","RASSE2","GEBURTSJAHR_HUND","GESCHLECHT_HUND","HUNDEFARBE"
"2291",90914,"41-50","w",7,74,"Yorkshire Terrier","",2007,"m","blue/tan"
"2292",90921,"71-80","w",10,101,"Belgischer Schäfer","",2007,"w","fauve"
"2293",90924,"31-40","m",3,34,"Mischling klein","Schäfer",2005,"m","braun/schwarz"
"2294",90933,"41-50","w",3,33,"West Highland White Terrier","",2007,"m","weiss"
"2295",90951,"41-50","m",11,119,"Labrador Retriever","",2012,"m","beige"
"2296",90954,"31-40","w",11,111,"Australian Shepherd","",2006,"w","blue/merle"
"2297",90955,"61-70","m",7,72,"Airedale Terrier","",2011,"w","black/tan"
"2298",90974,"51-60","w",3,34,"Spaniel","",2007,"w","tricolor"
"2299",90974,"51-60","w",3,34,"Cavalier King Charles Spaniel","",2007,"m","braun"
"2300",90990,"71-80","w",7,74,"Cairn Terrier","",2004,"m","red-brindle"
"2301",90993,"71-80","m",7,73,"Malteser","",2007,"w","weiss"
"2302",90993,"71-80","m",7,73,"Malteser","",2006,"m","weiss"
"2303",90999,"31-40","m",3,31,"Podenco","",2008,"w","braun/rot"
"2304",91015,"51-60","w",8,81,"Zwergrauhaardackel","",2007,"w","saufarben"
"2305",91015,"51-60","w",8,81,"Zwergdachshund","",2016,"w","schwarz/rot"
"2306",91016,"61-70","w",3,34,"Jack Russel Terrier","",2007,"m","tricolor"
"2307",91024,"71-80","w",12,121,"Appenzeller","",2007,"w","tricolor"
"2308",91051,"51-60","w",8,81,"Collie","",2009,"w","tricolor"
"2309",91078,"41-50","w",3,31,"Tibet Terrier","",2002,"m","hellbraun"
"2310",91084,"31-40","w",7,71,"Mischling klein","",2004,"m","schwarz/braun"
"2311",91140,"61-70","w",4,44,"Yorkshire Terrier","",2007,"m","schwarz/beige"
"2312",91145,"51-60","w",10,101,"Jack Russel Terrier","",2006,"m","tricolor"
"2313",91146,"41-50","w",11,111,"Vorstehhund","",2005,"w","braun"
"2314",91166,"51-60","w",8,83,"Zwergdachshund","",2015,"w","wildfarbig"
"2315",91205,"41-50","m",6,61,"Zwergschnauzer","",2007,"w","schwarz"
"2316",91206,"41-50","w",9,92,"Continental Bulldog","",2009,"m","rot"
"2317",91220,"51-60","w",7,72,"Parson Russell Terrier","",2007,"w","weiss/rot"
"2318",91249,"61-70","w",9,92,"Deutscher Langhaarschäfer","",2007,"w","grau"
"2319",91253,"41-50","w",7,74,"Bergamasker","",2003,"w","tricolor"
"2320",91256,"41-50","m",9,91,"Segugio","Spinone",2004,"m","schwarz/braun/weiss"
"2321",91274,"51-60","m",7,74,"Daisy-Dog","",2007,"m","weiss/beige"
"2322",91276,"41-50","m",7,73,"Golden Retriever","",2007,"m","blondfarben"
"2323",91280,"71-80","w",11,119,"Malteser","",2004,"m","schwarz"
"2324",91283,"41-50","w",11,119,"Yorkshire Terrier","",2007,"m","blue/tan"
"2325",91310,"61-70","w",12,123,"Shih Tzu","",2007,"m","weiss/rot"
"2326",91316,"61-70","w",7,71,"Beagle","",2013,"m","tricolor"
"2327",91334,"51-60","w",7,74,"Airedale Terrier","",2011,"w","black/tan"
"2328",91342,"41-50","m",2,24,"Parson Russell Terrier","",2008,"m","weiss/rot"
"2329",91351,"41-50","m",7,72,"Mops","",2009,"w","beige/schwarz"
"2330",91356,"71-80","w",2,24,"Appenzeller Sennenhund","",2006,"m","tricolor"
"2331",91450,"81-90","w",7,73,"Berger des Pyrenées","",2004,"m","creme"
"2332",91460,"51-60","w",10,101,"Norwich Terrier","",2007,"m","rot"
